epoch,global_step,train_loss,train_accuracy,train_correct,train_count,train_batches,train_last_batch_size,train_order_sha256,train_seconds,data_wait_seconds,train_samples_per_second,val_loss,val_accuracy,val_correct,val_count,validation_seconds,gpu_peak_allocated_mib,train_eval_loss,train_eval_accuracy,train_eval_correct,train_eval_count,train_eval_seconds
28,9856,0.500282872083452,0.8224888888888889,37012,45000,352,72,63da952cbff14261570fdd0c3b274421baafdbadc5354738f255816c3d3c1adc,14.806784898042679,6.482040126807988,3039.147276729102,1.1167931076049804,0.6516,3258,5000,0.7282135151326656,381.35205078125,0.4288683332655165,0.8530222222222222,38386,45000,6.53444896498695
29,10208,0.4674166843944126,0.8324444444444444,37460,45000,352,72,167f92a549fcc6907278e4001049c602a1ce81f1ef25176342c4f35b0646b34b,15.215720986016095,6.690331202931702,2957.4674799411046,1.1940167367935182,0.645,3225,5000,0.727354051079601,381.35205078125,0.4286167443169488,0.847,38115,45000,6.4827582500875
30,10560,0.4481112417485979,0.8374,37683,45000,352,72,4619e766704dec761b585aaca3d7354a817bd10b45c5a6ef569a87b90cbdbfa7,14.86108003789559,6.501160452608019,3028.043714538277,1.1643308921813964,0.6506,3253,5000,0.7372618648223579,381.35205078125,0.3874908036549886,0.8655111111111111,38948,45000,6.668135828804225
31,10912,0.41345948272281224,0.8516222222222222,38323,45000,352,72,c8135960290f315977ffa0c2bc9f738277c8c359927dffe83aa73e3033a7b248,14.848809046670794,6.507714375387877,3030.546076696253,1.1973985385894776,0.6566,3283,5000,0.7280719359405339,381.35205078125,0.33577789760165744,0.8844222222222222,39799,45000,6.490563038736582
32,11264,0.38877142924732633,0.8618666666666667,38784,45000,352,72,6dfd706def80e36e1ffd44723a7275a19591c4ffccb82e4f49695b77c8db01bf,14.87689572898671,6.526611914858222,3024.8245883931477,1.2101256353378296,0.6538,3269,5000,0.7262076488696039,381.35205078125,0.306060380215115,0.8972444444444444,40376,45000,6.582854718901217
33,11616,0.36657549265755546,0.8706666666666667,39180,45000,352,72,05e651933ac4fb886149b6cdb89587bc7c20d60d7d79ddb47161afc4661841ae,14.77828478300944,6.462506587151438,3045.008311907509,1.2504577785491944,0.6462,3231,5000,0.7281239498406649,381.35205078125,0.31670455873277453,0.8885333333333333,39984,45000,6.520877431612462
34,11968,0.3407618689219157,0.8796888888888889,39586,45000,352,72,7a94ae7effcbefb462e0ae426f5046c88dd0c51bf6647fa7c36522b33c43f027,14.924017102923244,6.502494798507541,3015.273950013473,1.2554417672157288,0.6516,3258,5000,0.7312856568023562,381.35205078125,0.27164601425594753,0.9072888888888889,40828,45000,6.5799469808116555
35,12320,0.31391557801564535,0.8877333333333334,39948,45000,352,72,acb0e86919b0b86926400b959790c42cb6f539cef83664e2176782921ea1ebdd,14.876830209977925,6.526355642825365,3024.8379100151587,1.3146763633728027,0.6456,3228,5000,0.7249549399130046,381.35205078125,0.25712603946261936,0.9105333333333333,40974,45000,6.490971217863262
36,12672,0.30107602484491136,0.8932666666666667,40197,45000,352,72,f01711cf3ad10809c61e83759f10391a9782f107640d763853a4a9ca823b96c6,14.67711523687467,6.4669345007278025,3065.997593787528,1.3731880603790283,0.6504,3252,5000,0.7266581379808486,381.35205078125,0.2481375973171658,0.9149555555555555,41173,45000,6.521294096019119
37,13024,0.2733641003396776,0.9017777777777778,40580,45000,352,72,e3e0c0aa59843817fbc706cd01a057a8bd17d3101981173920e2cece892f980b,14.870343131944537,6.490246318746358,3026.157473349139,1.4161805503845215,0.6482,3241,5000,0.7345365802757442,381.35205078125,0.23298776003519694,0.9173111111111111,41279,45000,6.580718562938273
38,13376,0.257162832959493,0.9083111111111111,40874,45000,352,72,bf72adf83fe37ea4a10ef43ce8714df72fd62d6c40653c37790bd71f2eed8983,14.81458294391632,6.461258337832987,3037.5475415242427,1.4209753326416015,0.6442,3221,5000,0.7243275619111955,381.35205078125,0.20883249346415203,0.9288444444444445,41798,45000,6.524693347979337
39,13728,0.24949600033230251,0.9122666666666667,41052,45000,352,72,12e121c38231cbfde1154e7116b7dcebf11530687c42f12c019a2bfb7ab04afb,14.838894251734018,6.4680454772897065,3032.5709744000274,1.4444140430450438,0.6426,3213,5000,0.7354057459160686,381.35205078125,0.20373988937801785,0.9307555555555556,41884,45000,6.785944200120866
40,14080,0.21901386091179317,0.9217777777777778,41480,45000,352,72,6c49d03fcd7bb3d7e9ccc1c1b0e4b468c5fab7d689431313f59a59030850a1b7,14.998731149826199,6.515009606257081,3000.2537915029866,1.5454762390136718,0.638,3190,5000,0.7272181347943842,381.35205078125,0.2257569504208035,0.9179555555555555,41308,45000,6.5075703877955675
41,14432,0.2193705444653829,0.9214888888888889,41467,45000,352,72,5843c0e42be09cbb4966460f6c7dcc636fcdd898b313b0f904056cff2ea0f9af,14.818516156636178,6.4825360015966,3036.7412988140277,1.5356080478668213,0.6446,3223,5000,0.7312586908228695,381.35205078125,0.16892247443728978,0.9420888888888889,42394,45000,6.5209067282266915
42,14784,0.200322210044331,0.9282222222222222,41770,45000,352,72,77796cc44f534d487f69f90058a3340340cd146e821dd5e36ab0e31c2f9a3880,14.7786122597754,6.450924558099359,3044.9408380840687,1.5504305936813354,0.651,3255,5000,0.7239755899645388,381.35205078125,0.13299803119235568,0.9559555555555556,43018,45000,6.503091032616794
43,15136,0.17684625209172566,0.938,42210,45000,352,72,159b1ea894d4d6f684a2b1d3f0ef4e0535441286e408d0a7a3144e556015933a,14.803238854277879,6.464654977899045,3039.8752896563433,1.606298857688904,0.6388,3194,5000,0.7254301281645894,381.35205078125,0.1692009176572164,0.9407555555555556,42334,45000,6.505037595052272
44,15488,0.1823471845097012,0.9350444444444445,42077,45000,352,72,a017c0b16aef2053a0b7351db920e4a9ccd33d7f1d37b957881cae548f0dfdda,14.894692912697792,6.5033247312530875,3021.2103239562125,1.6411273641586304,0.6422,3211,5000,0.7227709642611444,381.35205078125,0.12721011317571004,0.9569777777777778,43064,45000,6.506322032772005
45,15840,0.1605867246892717,0.9433111111111111,42449,45000,352,72,76c6f34ee84a15ca74949e139696962649c230fd83cccef8cc7039b392e7af0d,14.858165564015508,6.492249248549342,3028.63767442355,1.6635251108169555,0.6446,3223,5000,0.730209088884294,381.35205078125,0.13937595891952514,0.9521555555555555,42847,45000,6.678858180996031
46,16192,0.1681383526802063,0.9396222222222222,42283,45000,352,72,4da96cc32953c7b41805ea979adff01241ee877d5821547716daad087f75f55a,14.85589469410479,6.4668405945412815,3029.1006315396935,1.64096397857666,0.649,3245,5000,0.7266650041565299,381.35205078125,0.1401009163008796,0.9524888888888889,42862,45000,6.519086222164333
47,16544,0.14887786795563168,0.9475777777777777,42641,45000,352,72,72d6e53aa2f1da016923a75bfc42817d29980dc8dfcd091d4cc4285c5617bea2,14.815379560925066,6.475540469866246,3037.384213812894,1.7441357593536377,0.6404,3202,5000,0.7334602940827608,381.35205078125,0.1197512095981174,0.9583111111111111,43124,45000,6.562544569838792
48,16896,0.1432049212694168,0.9492888888888888,42718,45000,352,72,a89a64745f65b3ae25050253daa195e4cb63b05cff52392844b7ed4d065f6307,14.824479325674474,6.47284445958212,3035.5197650729374,1.7762396295547485,0.635,3175,5000,0.7298025540076196,381.35205078125,0.15363614100350273,0.9454222222222223,42544,45000,6.555139104835689
49,17248,0.1394652998023563,0.9507555555555556,42784,45000,352,72,d4045c512b0f8f8746202a66b53f1651983ee526f3d988ee5d45b0476dcd50b1,14.86714667500928,6.496781156864017,3026.8081013582864,1.7521468376159668,0.6442,3221,5000,0.733162036165595,381.35205078125,0.10828268594741822,0.9630444444444445,43337,45000,6.526825081091374
50,17600,0.1303529020468394,0.9552,42984,45000,352,72,4bc82395c261d104f8c5123142c5c8ff048adbb0c9358ee04ca1889cf982db50,14.886530430056155,6.486199290957302,3022.8668937621787,1.7516471965789795,0.6442,3221,5000,0.7322263522073627,381.35205078125,0.11909855448404948,0.9592888888888889,43168,45000,6.56613614782691
